property_instance,template,event_a,event_b,nsat,nant,confidence,antecedent_frequency,threshold_margin
G(READ -> F(CLOSE)),RESPONSE,READ,CLOSE,52,52,1.0,0.173333,0.1
G(SEEK -> F(CLOSE)),RESPONSE,SEEK,CLOSE,55,55,1.0,0.183333,0.1
G(STAT -> F(CLOSE)),RESPONSE,STAT,CLOSE,58,58,1.0,0.193333,0.1
G(WRITE -> F(CLOSE)),RESPONSE,WRITE,CLOSE,49,49,1.0,0.163333,0.1
G(!END),ABSENCE,END,,283,300,0.943333,1.0,0.043333
G(END -> O(ACK)),PRECEDENCE,ACK,END,17,17,1.0,0.056667,0.1
G(RESP -> O(ACK)),PRECEDENCE,ACK,RESP,47,47,1.0,0.156667,0.1
G(TRY_LOCK -> O(LOCK)),PRECEDENCE,LOCK,TRY_LOCK,50,50,1.0,0.166667,0.1
G(UNLOCK -> O(LOCK)),PRECEDENCE,LOCK,UNLOCK,80,80,1.0,0.266667,0.1
G(CLOSE -> O(OPEN)),PRECEDENCE,OPEN,CLOSE,82,82,1.0,0.273333,0.1
G(READ -> O(OPEN)),PRECEDENCE,OPEN,READ,52,52,1.0,0.173333,0.1
G(SEEK -> O(OPEN)),PRECEDENCE,OPEN,SEEK,55,55,1.0,0.183333,0.1
G(STAT -> O(OPEN)),PRECEDENCE,OPEN,STAT,58,58,1.0,0.193333,0.1
G(WRITE -> O(OPEN)),PRECEDENCE,OPEN,WRITE,49,49,1.0,0.163333,0.1
G(ACK -> O(REQ)),PRECEDENCE,REQ,ACK,79,79,1.0,0.263333,0.1
G(END -> O(REQ)),PRECEDENCE,REQ,END,17,17,1.0,0.056667,0.1
G(RESP -> O(REQ)),PRECEDENCE,REQ,RESP,47,47,1.0,0.156667,0.1
G(X(END) -> ACK),CHAIN_PRECEDE,ACK,END,17,17,1.0,0.056667,0.1
G(X(RESP) -> ACK),CHAIN_PRECEDE,ACK,RESP,47,47,1.0,0.156667,0.1
G(X(ACK) -> REQ),CHAIN_PRECEDE,REQ,ACK,79,79,1.0,0.263333,0.1
