corpus,q,c_compromised,supporting_after,recovered,within_cert_bound,bound_holds
real-syscall,1,0,11,True,True,True
real-syscall,1,1,10,True,True,True
real-syscall,1,2,9,True,True,True
real-syscall,1,3,8,True,True,True
real-syscall,1,4,7,True,True,True
real-syscall,1,5,6,True,True,True
real-syscall,1,6,5,True,True,True
real-syscall,1,7,4,True,True,True
real-syscall,1,8,3,True,True,True
real-syscall,1,9,2,True,True,True
real-syscall,1,10,1,True,True,True
real-syscall,1,11,0,False,False,True
real-syscall,2,0,11,True,True,True
real-syscall,2,1,10,True,True,True
real-syscall,2,2,9,True,True,True
real-syscall,2,3,8,True,True,True
real-syscall,2,4,7,True,True,True
real-syscall,2,5,6,True,True,True
real-syscall,2,6,5,True,True,True
real-syscall,2,7,4,True,True,True
real-syscall,2,8,3,True,True,True
real-syscall,2,9,2,True,True,True
real-syscall,2,10,1,False,False,True
real-syscall,2,11,0,False,False,True
real-syscall,3,0,11,True,True,True
real-syscall,3,1,10,True,True,True
real-syscall,3,2,9,True,True,True
real-syscall,3,3,8,True,True,True
real-syscall,3,4,7,True,True,True
real-syscall,3,5,6,True,True,True
real-syscall,3,6,5,True,True,True
real-syscall,3,7,4,True,True,True
real-syscall,3,8,3,True,True,True
real-syscall,3,9,2,False,False,True
real-syscall,3,10,1,False,False,True
real-syscall,3,11,0,False,False,True
real-syscall,4,0,11,True,True,True
real-syscall,4,1,10,True,True,True
real-syscall,4,2,9,True,True,True
real-syscall,4,3,8,True,True,True
real-syscall,4,4,7,True,True,True
real-syscall,4,5,6,True,True,True
real-syscall,4,6,5,True,True,True
real-syscall,4,7,4,True,True,True
real-syscall,4,8,3,False,False,True
real-syscall,4,9,2,False,False,True
real-syscall,4,10,1,False,False,True
real-syscall,4,11,0,False,False,True
real-syscall,5,0,11,True,True,True
real-syscall,5,1,10,True,True,True
real-syscall,5,2,9,True,True,True
real-syscall,5,3,8,True,True,True
real-syscall,5,4,7,True,True,True
real-syscall,5,5,6,True,True,True
real-syscall,5,6,5,True,True,True
real-syscall,5,7,4,False,False,True
real-syscall,5,8,3,False,False,True
real-syscall,5,9,2,False,False,True
real-syscall,5,10,1,False,False,True
real-syscall,5,11,0,False,False,True
real-syscall,6,0,11,True,True,True
real-syscall,6,1,10,True,True,True
real-syscall,6,2,9,True,True,True
real-syscall,6,3,8,True,True,True
real-syscall,6,4,7,True,True,True
real-syscall,6,5,6,True,True,True
real-syscall,6,6,5,False,False,True
real-syscall,6,7,4,False,False,True
real-syscall,6,8,3,False,False,True
real-syscall,6,9,2,False,False,True
real-syscall,6,10,1,False,False,True
real-syscall,6,11,0,False,False,True
real-syscall,7,0,11,True,True,True
real-syscall,7,1,10,True,True,True
real-syscall,7,2,9,True,True,True
real-syscall,7,3,8,True,True,True
real-syscall,7,4,7,True,True,True
real-syscall,7,5,6,False,False,True
real-syscall,7,6,5,False,False,True
real-syscall,7,7,4,False,False,True
real-syscall,7,8,3,False,False,True
real-syscall,7,9,2,False,False,True
real-syscall,7,10,1,False,False,True
real-syscall,7,11,0,False,False,True
real-syscall,8,0,11,True,True,True
real-syscall,8,1,10,True,True,True
real-syscall,8,2,9,True,True,True
real-syscall,8,3,8,True,True,True
real-syscall,8,4,7,False,False,True
real-syscall,8,5,6,False,False,True
real-syscall,8,6,5,False,False,True
real-syscall,8,7,4,False,False,True
real-syscall,8,8,3,False,False,True
real-syscall,8,9,2,False,False,True
real-syscall,8,10,1,False,False,True
real-syscall,8,11,0,False,False,True
real-syscall,9,0,11,True,True,True
real-syscall,9,1,10,True,True,True
real-syscall,9,2,9,True,True,True
real-syscall,9,3,8,False,False,True
real-syscall,9,4,7,False,False,True
real-syscall,9,5,6,False,False,True
real-syscall,9,6,5,False,False,True
real-syscall,9,7,4,False,False,True
real-syscall,9,8,3,False,False,True
real-syscall,9,9,2,False,False,True
real-syscall,9,10,1,False,False,True
real-syscall,9,11,0,False,False,True
real-syscall,10,0,11,True,True,True
real-syscall,10,1,10,True,True,True
real-syscall,10,2,9,False,False,True
real-syscall,10,3,8,False,False,True
real-syscall,10,4,7,False,False,True
real-syscall,10,5,6,False,False,True
real-syscall,10,6,5,False,False,True
real-syscall,10,7,4,False,False,True
real-syscall,10,8,3,False,False,True
real-syscall,10,9,2,False,False,True
real-syscall,10,10,1,False,False,True
real-syscall,10,11,0,False,False,True
real-syscall,11,0,11,True,True,True
real-syscall,11,1,10,False,False,True
real-syscall,11,2,9,False,False,True
real-syscall,11,3,8,False,False,True
real-syscall,11,4,7,False,False,True
real-syscall,11,5,6,False,False,True
real-syscall,11,6,5,False,False,True
real-syscall,11,7,4,False,False,True
real-syscall,11,8,3,False,False,True
real-syscall,11,9,2,False,False,True
real-syscall,11,10,1,False,False,True
real-syscall,11,11,0,False,False,True
real-syscall,12,0,11,False,False,True
real-syscall,12,1,10,False,False,True
real-syscall,12,2,9,False,False,True
real-syscall,12,3,8,False,False,True
real-syscall,12,4,7,False,False,True
real-syscall,12,5,6,False,False,True
real-syscall,12,6,5,False,False,True
real-syscall,12,7,4,False,False,True
real-syscall,12,8,3,False,False,True
real-syscall,12,9,2,False,False,True
real-syscall,12,10,1,False,False,True
real-syscall,12,11,0,False,False,True
real-network,1,0,7,True,True,True
real-network,1,1,6,True,True,True
real-network,1,2,5,True,True,True
real-network,1,3,4,True,True,True
real-network,1,4,3,True,True,True
real-network,1,5,2,True,True,True
real-network,1,6,1,True,True,True
real-network,1,7,0,False,False,True
real-network,2,0,7,True,True,True
real-network,2,1,6,True,True,True
real-network,2,2,5,True,True,True
real-network,2,3,4,True,True,True
real-network,2,4,3,True,True,True
real-network,2,5,2,True,True,True
real-network,2,6,1,False,False,True
real-network,2,7,0,False,False,True
real-network,3,0,7,True,True,True
real-network,3,1,6,True,True,True
real-network,3,2,5,True,True,True
real-network,3,3,4,True,True,True
real-network,3,4,3,True,True,True
real-network,3,5,2,False,False,True
real-network,3,6,1,False,False,True
real-network,3,7,0,False,False,True
real-network,4,0,7,True,True,True
real-network,4,1,6,True,True,True
real-network,4,2,5,True,True,True
real-network,4,3,4,True,True,True
real-network,4,4,3,False,False,True
real-network,4,5,2,False,False,True
real-network,4,6,1,False,False,True
real-network,4,7,0,False,False,True
real-network,5,0,7,True,True,True
real-network,5,1,6,True,True,True
real-network,5,2,5,True,True,True
real-network,5,3,4,False,False,True
real-network,5,4,3,False,False,True
real-network,5,5,2,False,False,True
real-network,5,6,1,False,False,True
real-network,5,7,0,False,False,True
real-network,6,0,7,True,True,True
real-network,6,1,6,True,True,True
real-network,6,2,5,False,False,True
real-network,6,3,4,False,False,True
real-network,6,4,3,False,False,True
real-network,6,5,2,False,False,True
real-network,6,6,1,False,False,True
real-network,6,7,0,False,False,True
real-network,7,0,7,True,True,True
real-network,7,1,6,False,False,True
real-network,7,2,5,False,False,True
real-network,7,3,4,False,False,True
real-network,7,4,3,False,False,True
real-network,7,5,2,False,False,True
real-network,7,6,1,False,False,True
real-network,7,7,0,False,False,True
real-network,8,0,7,False,False,True
real-network,8,1,6,False,False,True
real-network,8,2,5,False,False,True
real-network,8,3,4,False,False,True
real-network,8,4,3,False,False,True
real-network,8,5,2,False,False,True
real-network,8,6,1,False,False,True
real-network,8,7,0,False,False,True
