corpus,property,margin,Kstar,poison_pct,conf_shift,sigma,stealth_in_sigma
real-syscall,G(dup -> F(close)),0.1,6,6.12,0.1071,0.0,
real-syscall,G(dup -> F(lseek)),0.0,1,1.02,0.0176,0.0426,0.41
real-syscall,G(dup -> F(read)),0.0,1,1.02,0.0176,0.0436,0.4
real-syscall,G(dup -> F(stat)),0.0,1,1.02,0.0176,0.0425,0.41
real-syscall,G(lseek -> F(close)),0.1,9,9.18,0.1084,0.0,
real-syscall,G(mmap -> F(close)),0.0184,3,3.06,0.0273,0.0285,0.96
real-syscall,G(mmap -> F(open)),0.049,6,6.12,0.0547,0.0233,2.35
real-syscall,G(mmap -> F(read)),0.1,11,11.22,0.1009,0.0,
real-syscall,G(open -> F(close)),0.0184,3,3.06,0.0273,0.027,1.01
real-syscall,G(open -> F(read)),0.1,11,11.22,0.1009,0.0,
real-syscall,G(open -> F(stat)),0.0184,3,3.06,0.0273,0.0273,1.0
real-syscall,G(read -> F(close)),0.0184,3,3.06,0.0273,0.0293,0.93
real-syscall,G(stat -> F(close)),0.1,11,11.22,0.1009,0.0,
real-syscall,G(write -> F(close)),0.1,6,6.12,0.1176,0.0,
real-network,G(connect -> F(close)),0.018,2,3.28,0.0291,0.035,0.83
real-network,G(send -> F(recv)),0.1,5,8.2,0.119,0.0,
real-network,G(shutdown -> F(close)),0.1,2,3.28,0.1111,0.0,
real-network,G(socket -> F(close)),0.018,2,3.28,0.0291,0.0351,0.83
real-network,G(socket -> F(connect)),0.1,7,11.48,0.1029,0.0,
real-network,G(sockopt -> F(close)),0.1,3,4.92,0.1111,0.0,
